Группа,sentence,labels
"Избранное, отложить ","Я, как не авторизированный пользователь хочу иметь возможность сохранять товары в избранное, чтобы откладывать понравившиеся мне товары",6
"Избранное, отложить ","Я, как пользователь хочу, чтобы я мог переместить товар из корзины в избранное, чтобы в дальнейшим легко найти этот товар",6
Форма обратной связи,"Я, как пользователь, хочу иметь возможность обратиться в службу поддержки на экране, на котором возникли проблемы, чтобы не тратить время на поиск раздела со службой поддержки.",35
Форма обратной связи,"Я, как пользователь, хочу, чтобы была возможность делиться ошибками приложения, чтобы разработчики могли работать над исправлением ошибок",35
Форма обратной связи,"Я, как заказчик, хочу чтобы пользователи которые обратились в службу поддержки смогли зарегистрироваться по упрощенной системе, чтобы увеличить количество зарегистрированных пользователей",35
Форма обратной связи,"Я, как заказчик, хочу чтобы пользователи находили ответы на вопросы в приложении, чтобы разгрузить кол-центр.",35
Форма обратной связи,"Я, как Пользователь, хочу отправлять обращение администрации сервиса чтобы решить мои проблему с контентом или другими Пользователями в приложении",35
Форма обратной связи,Я как пользователь хочу записываться на онлайн консультацию чтобы не тратить время на дорогу к салону,35
Форма обратной связи,Я как владелец продукта хочу предложить пользователю прохождение онлайн консультаций чтобы привлечь аудиторию которая пока не готова посетить оптику офлайн,35
Обратный звонок,"Я как не авторизированный пользователь, хочу иметь возможность заказать обратный звонок, чтобы задать интересующий меня вопрос.",10
Обратный звонок,"Я, как заказчик, хочу чтобы пользователи которые заказали обратный звонок смогли зарегистрироваться по упрощенной системе, чтобы увеличить количество зарегистрированных пользователей",10
Обратный звонок,"Я как пользователь, хочу, иметь возможность заказать обратный звонок, чтобы задать интересующий меня вопрос.",10
Программа лояльности,"Я, как заказчик, хочу, предоставить пользователю дополнительную мотивацию для покупок, чтобы увеличивать доход компании.",20
Программа лояльности,"Я, как заказчик, хочу предоставлять эксклюзивную возможность получать подарки в мобильном приложении, чтобы популяризировать мобильное приложение.",20
Программа лояльности,"Я, как заказчик, хочу чтобы предоставлять дополнительные подарки пользователю, чтобы увеличивать вовлеченность пользователя.",20
Программа лояльности,"Я, как заказчик, чтобы предоставить пользователю понятный и простой сервис обмена купонов на подарки, чтобы упростить и ускорить процесс получения подарков.",20
Программа лояльности,"Я как пользователь, хочу, накапливать дополнительные купоны, чтобы получать подарки.",20
Программа лояльности,"Я, как заказчик, чтобы предоставить пользователю дополнительные подарки, чтобы мотивировать пользователя совершать больше покупок.",20
Программа лояльности,"Я, как заказчик, чтобы предоставить пользователю дополнительные подарки, чтобы мотивировать пользователя зарегистрироваться в приложении.",20
Программа лояльности,"Я, как заказчик, хочу, предоставить пользователю дополнительную мотивацию для покупок, чтобы увеличивать доход компании.",20
Программа лояльности,"Я, как заказчик, хочу предоставлять эксклюзивную возможность получать скидки и копить баллы в мобильном приложении, чтобы популяризировать мобильное приложение.",20
Программа лояльности,"Я, как заказчик, хочу чтобы предоставлять дополнительные награды, чтобы увеличивать вовлеченность пользователя.",20
Программа лояльности,"Я, как заказчик, чтобы предоставить пользователю дополнительные скидки , чтобы мотивировать пользователя зарегистрироваться в приложении.",20
Программа лояльности,"Я, как пользователь, хочу накапливать баллы , чтобы использовать их для последующих покупок",20
Программа лояльности,"Я, как пользователь, хочу видеть условия накопления баллов, чтобы накапливать максимальную скидку",20
Программа лояльности,"Я, как пользователь, хочу видеть историю начисления баллов, чтобы проверять достоверность начислений",20
Программа лояльности,"Я, как пользователь, хочу видеть условия розыгрыша и принимать в нем участие, чтобы выигрывать призы",20
Кастомный экран,"Я, как заказчик, хочу, чтобы была возможность изменять контент главного экрана интернет магазина, чтобы быстро и гибко вносить изменения",8
Кастомный экран,"Я, как заказчик, хочу иметь удобный инструмент работы с главной страницей, чтобы упростить и ускорить работу.",8
Кастомный экран,"Я, как администратор, хочу добавлять/удалять категории на Главный экран в админ.панели, чтобы акцентировать/убрать внимание с данной категории;",8
Онбординг пользователя,"Я, как заказчик, хочу чтобы пользователь понимал как пользоваться приложением, чтобы увеличить положительный опыт его использования.",11
Онбординг пользователя,"Я, как заказчик, хочу, чтобы в приложении были подсказки для новых пользователей, чтобы у пользователя не оставалось вопросов по работе приложения.",11
Онбординг пользователя,"Я, как заказчик, хочу, чтобы в приложении было описание новых функций в приложении, чтобы у пользователя не оставалось вопросов по работе приложения.",11
Онбординг пользователя,"Я, как Пользователь хочу ознакомиться с инструкцией к приложению чтобы быстро понимать, как пользоваться сервисом",11
Онбординг пользователя,"Я, как пользователь, хочу увидеть обучающий онбординг, чтобы знать все возможности приложения",11
Онбординг пользователя,"Я, как пользователь, хочу видеть информационный онбординг после обновления приложения, чтобы знать о новых функциях и использовать их",11
Онбординг пользователя,"Я, как владелец продукта, хочу обучить пользователей, чтобы они использовали все возможности приложения",11
Акционные и персональные скидки в карточках товаров,"Я, как пользователь, хочу видеть акции и скидки в каталоге и на карточке товара, чтобы выгоднее совершать покупки.",2
Акционные и персональные скидки в карточках товаров,"Я, как пользователь, хочу знать возможную стоимость товара(товаров) с учетом акций и скидок, чтобы совершать покупки выгоднее.",2
Акционные и персональные скидки в карточках товаров,"Я, как заказчик, хочу, чтобы пользователь видел возможный акции и скидки на товары, чтобы стимулировать покупку дополнительных товаров.",2
Выбор конфигурации товара,"Я, как пользователь, хочу иметь возможность выбрать подходящий мне цвет и размер товара, чтобы точно подобрать подходящий мне товар по размеру и понравившийся цвет.",4
Выбор конфигурации товара,"Когда мне нужно сменить цвет или размер понравившегося товара, выбрать его количество, я бы хотел иметь возможность делать это прямо на карточке товара внутри корзины, чтобы снова не возвращаться к поиску товара.",4
Информация о товаре/услуге,"Я, как пользователь, хочу иметь возможность просмотреть детальную информацию о товаре, чтобы знать, кто изготовитель, в какой стране он произведен и из каких материалов, и прочую подобную информацию.",7
Информация о товаре/услуге,"Я, как пользователь, хочу видеть информацию о товаре его цену фото и описание, чтобы выбрать его в список желаемых покупок",7
Информация о товаре/услуге,"Я, как владелец бизнеса, хочу предоставить пользователям полную информацию о товаре, чтобы мотивировать их к покупке",7
Информация о товаре/услуге,"Я, как владелец продукта хочу предоставить пользователю информацию о требуемых документах чтобы пользователь мог самостоятельно собрать необходимый пакет документов",7
Информация о товаре/услуге,"Я, как пользователь, хочу видеть информацию о товаре его цену фото и описание, чтобы выбрать его в список желаемых покупок",7
Информация о товаре/услуге,"Я, как владелец бизнеса, хочу предоставить пользователям полную информацию о товаре, чтобы мотивировать их к покупке",7
"Кнопка ""Добавить в Корзину""","Я, как пользователь, хочу добавлять товары в корзину, чтобы купить их",9
"Кнопка ""Добавить в Корзину""","Я, как пользователь, хочу увидеть стоимость всех набранных мной товаров со скидками прямо в карточке товара, чтобы не совершать лишних действий для соотношения своих финансовых возможностей с набранным количеством товарных позиций.",9
Раздел Корзина,"Я, как пользователь, хочу собрать список необходимых мне товаров в одном месте, чтобы иметь возможность собрать их в один заказ и оплатить одним чеком.",23
Раздел Корзина,"Когда мне нужно оплатить выбранные товары, я бы хотел видеть их список и общую сумму средств, которые потрачу на все товары, чтобы иметь возможность рассчитать свои финансы.",23
Раздел Корзина,"Когда мне нужно сменить цвет или размер понравившегося товара, выбрать его количество, я бы хотел иметь возможность делать это прямо на карточке товара внутри корзины, чтобы снова не возвращаться к поиску товара.",23
Раздел Корзина,"Я, как пользователь, хочу собрать список необходимых мне товаров в одном месте, чтобы иметь возможность собрать их в один заказ и оплатить одним чеком.",23
Раздел Корзина,"Я, как пользователь, перед оплатой выбранных товаров, хочу видеть их список и общую сумму средств, которые потрачу на все товары, чтобы иметь возможность рассчитать свои финансы.",23
Раздел Корзина,"Я, как пользователь, хочу собрать список необходимых мне товаров в одном месте, чтобы иметь возможность собрать их в один заказ и оплатить одним чеком.",23
Раздел Корзина,"Когда я добавляю много товаров в корзину, я хочу видеть ее превью в карточке товара с последними добавленными товарами и суммой к оплате, чтобы видеть сумму к оплате с учетом моих скидок.",23
Оформление заказа,"Я, как пользователь, хочу иметь возможность выбрать способ получения своего заказа, чтобы спланировать свое время.",14
Оформление заказа,"Я, как пользователь, хочу иметь возможность выбрать способ оплаты заказа, чтобы ускорить или упростить для себя процесс оплаты",14
Оформление заказа,"Я, как владелец продукта, хочу дать пользователям возможность дробить заказ на части, чтобы пользователь мог забрать все интересующие его товары вне зависимости от остатков в конкретном магазине",14
Списание бонусов,"Я, как пользователь, хочу иметь возможность списывать бонусы в мобильном приложении, чтобы снизить цену покупки",30
Списание бонусов,"Я, как пользователь, хочу, чтобы бонусы можно было списывать в мобильном приложении, чтобы была возможность тратить бонусы не только в магазинах",30
Списание бонусов,"Я, как владелец продукта, хочу, чтобы пользователь мог списывать бонусы в мобильном приложении, чтобы снижать цену заказов, тем самым увеличивая объем продаж",30
Списание бонусов,"Я, пользователь, хочу иметь возможность оплачивать покупки бонусами Спасибо, чтобы снизить стоимость заказа",30
Списание бонусов,"Я, как заказчик, хочу, чтобы пользователь мог оплачивать покупки бонусами Спасибо, чтобы у пользователя была дополнительная скидка",30
Списание бонусов,"Я, как пользователь, хочу, чтобы мне предлагали списывать бонусы Kari, чтобы не забыть их использовать.",30
Создание рассылок,"Я, как маркетолог, хочу создавать рассылки в конструкторе, чтобы не привлекать сторонних специалистов.",28
Создание рассылок,"Я, как маркетолог, хочу создавать рассылки, чтобы повышать лояльность потребителей",28
Создание рассылок,"Я, как маркетолог, хочу создавать email письма в конструкторе, чтобы не разбираться в html верстке и не привлекать сторонних специалистов",28
Создание рассылок,"Я, как маркетолог, хочу сам создавать цепочки в конструкторе, чтобы запускать рекламные кампании",28
Профиль пользователя,"Я, как врач, хочу вносить данные о пациенте и получать результаты исследования, чтобы иметь все файлы, относящиеся к пациенту в одном месте",22
Профиль пользователя,"Я, как владелец продукта, хочу чтобы пользователь мог персонализировать профиль в админпанели, изменять его по своему усмотрению, чтобы придать индивидуальности профилям и иметь доступ к их контактным данным",22
Профиль пользователя,"Я, как пользователь, хочу управлять своими данными в личном кабинете, чтобы предоставлять или удалять актуальную информацию интернет - магазину",22
Профиль пользователя,"Я, как владелец продукта, хочу чтобы пользователь менял свой город по желанию, чтобы выдать ему релевантную выдачу и обеспечить возможную покупку.",22
Профиль пользователя,"Я, как Пользователь хочу изменять логин чтобы менять свой псевдоним",22
Профиль пользователя,"Я, как пользователь, хочу управлять своими данными в личном кабинете, чтобы предоставлять или удалять актуальную информацию интернет - магазину",22
Профиль пользователя,"Я, как Пользователь хочу указать свои Имя, Отчество чтобы другим Пользователям было удобно со мной общаться",22
Профиль пользователя,"Я, как Пользователь хочу указать общие сведения о себе чтобы другим Пользователям было удобно со мной общаться",22
Профиль пользователя,"Я, как Пользователь хочу загрузить аватар чтобы другие Пользователи видели, как я выгляжу",22
Профиль пользователя,"Я, как владелец продукта, хочу, чтобы пользователи добавляли свои карты в личном кабинете, чтобы давать им бонусы и скидки, тем самым инициализируя повторные покупки",22
Съемка видео,"Я, как Пользователь хочу выбирать камеру чтобы снимать себя или окружение для публикации",31
Съемка видео,"Я, как Пользователь хочу использовать базовый функционал съемки чтобы снимать видео для публикации",31
Съемка видео,"Я, как Пользователь хочу снимать видео чтобы публиковать его в приложении",31
Съемка видео,"Я, как Пользователь хочу использовать маски во время съемки видео чтобы повышать его привлекательность для других Пользователей",31
Баланс пользователя,"Я, как Пользователь, хочу заносить и выводить денежные средства чтобы зарабатывать и тратить деньги",3
Баланс пользователя,"Я, как Пользователь хочу смотреть список проведенных транзакций, чтобы отслеживать изменения баланса.",3
Административная панель,"Я, как администратор, хочу иметь возможность добавлять сотрудников, чтобы управлять загрузкой всех сотрудников компании",1
Административная панель,"Я, как администратор, хочу иметь возможность удалять менеджеров, чтобы помочь клиенту очистить список сотрудников или заблокировать доступ одному из сотрудников к платформе",1
Административная панель,"Я, как администратор, хочу иметь возможность авторизоваться в панели администратора, чтобы выполнять свою ежедневную работу",1
Административная панель,"Я, как администратор, хочу создавать/удалять категории и подкатегории в админ.панели, чтобы разнообразить список категорий, доступных пользователю;",1
Административная панель,"Я, как администратор, хочу искать товары в админ.панели, чтобы облегчить процесс привязки товаров к категориям",1
Административная панель,"Я, как администратор, хочу иметь возможность удалить позицию из заказа, чтобы сборщик собрал заказ с нужным наполнением.",1
Административная панель,"Я, как менеджер хочу авторизоваться в системе чтобы иметь доступ к управлению контентом",1
Редактирование видео,"Я, как Пользователь хочу редактировать видео чтобы повышать его привлекательность для других Пользователей",26
Редактирование видео,"Я, как Пользователь хочу изменять звук в видео чтобы повышать его привлекательность для других Пользователей",26
Редактирование видео,"Я, как Пользователь хочу добавлять озвучку в видео чтобы повышать его привлекательность для других Пользователей",26
Редактирование видео,"Я, как Пользователь хочу добавлять музыку в видео чтобы повышать его привлекательность для других Пользователей",26
Редактирование видео,"Я, как Пользователь хочу добавлять визуальные эффекты в видео чтобы повышать его привлекательность для других Пользователей",26
Функция Электронная сделка,"Я, как владелец продукта хочу чтобы пользователь выбрал предпочитаемый или доступный тип собственности чтобы подготовить соответствующие документы на стороне компании",36
Функция Электронная сделка,"Я, как владелец продукта хочу чтобы пользователь выбрал предпочитаемый способ оплаты чтобы подготовить соответствующие документы на стороне компании",36
Функция Электронная сделка,"Я, как владелец продукта хочу чтобы пользователь имел возможность предоставить данные для совершения сделки онлайн чтобы подготовить договор",36
Функция Электронная сделка,"Я, как владелец продукта хочу чтобы пользователь имел возможность предоставить данные для совершения сделки онлайн чтобы подготовить договор",36
Функция Электронная сделка,"Я, как владелец продукта хочу чтобы пользователь мог согласовать договор на покупку жилья онлайн чтобы автоматизировать процесс оформления договора",36
Функция Электронная сделка,"Я, как владелец продукта хочу отобразить условия для подписания договора чтобы информировать пользователя",36
Функция Электронная сделка,"Я, как пользователь хочу просматривать версии договора чтобы отслеживать его изменения",36
Функция Электронная сделка,"Я, как владелец продукта хочу чтобы пользователь мог согласовать договор на покупку жилья онлайн чтобы автоматизировать процесс оформления договора",36
Функция Электронная сделка,"Я, как пользователь хочу иметь возможность выбрать дату и время подписания договора о покупке жилья чтобы заранее спланировать встречу",36
Функция Электронная сделка,"Я, как владелец продукта хочу предоставить возможность пользователю ознакомится с заявкой на получение электронной цифровой подписи чтобы подписывать документы онлайн",36